protein_id,protein_st19_cis_h2,protein_st19_trans_h2,protein_st19_all_pqtl_h2,protein_st19_polygenic_h2,protein_st19_total_h2,protein_st19_cis_h2_fraction,protein_st19_trans_h2_fraction,protein_hpa_has_match,protein_hpa_rna_tissue_prior,protein_hpa_protein_tissue_prior,protein_hpa_tissue_prior,protein_hpa_is_secreted,protein_hpa_is_membrane
LPP:Q93052:OID30190:v1,0.0,0.00179970742154452,0.00179970742154452,0.0688,0.0705997074215445,0.0,0.025491712179466,1.0,0.8057752493003899,0.865,0.865,0.0,0.0
ALDH1A1:P00352:OID21128:v1,0.00589833960277426,0.00556023861635326,0.0114585782191275,0.0591,0.0705585782191275,0.0835949327728275,0.0788031555721733,1.0,0.865,0.9325,0.9325,0.0,0.0
STX8:Q9UNK0:OID20531:v1,0.00507829391383152,0.00293256278033938,0.0080108566941709,0.0624,0.0704108566941709,0.0721237342117432,0.0416492983898342,1.0,0.5025,0.5025,0.5025,0.0,1.0
IGBP1:P78318:OID31059:v1,0.0021046842287974,0.00290511870676461,0.00500980293556201,0.0654,0.070409802935562,0.0298919204577745,0.0412601454008234,1.0,0.5025,0.5025,0.5025,0.0,0.0
REEP4:Q9H6H4:OID31028:v1,0.0150550159001676,0.0180800747158177,0.0331350906159853,0.0371,0.0702350906159853,0.214351768726004,0.257422245166189,1.0,0.7960884316001434,0.9325,0.9325,0.0,1.0
ATP6V1G1:O75348:OID30242:v1,0.0,0.00121356678155154,0.00121356678155154,0.0689,0.0701135667815515,0.0,0.0173085871573554,1.0,0.5025,1.0,1.0,0.0,0.0
SF3B4:Q15427:OID21278:v1,0.00165581933452711,0.00651145512058181,0.00816727445510892,0.0616,0.0697672744551089,0.023733467409459,0.0933310806740995,1.0,0.5025,0.5025,0.5025,0.0,0.0
S100A16:Q96FQ6:OID20878:v1,0.00517022859631403,0.00641763417554672,0.0115878627718607,0.058,0.0695878627718607,0.0742978500900981,0.0922234700120984,1.0,0.865,0.865,0.865,0.0,0.0
ARFIP1:P53367:OID31024:v1,0.0128213654632601,0.00168467840224004,0.0145060438655001,0.0549,0.0694060438655002,0.18472981240807,0.0242727910771679,1.0,0.5025,0.5025,0.5025,0.0,0.0
NAPRT:Q6XQN6:OID31114:v1,0.0693290718825637,0.0,0.0693290718825637,0.0,0.0693290718825637,0.0,0.0,1.0,0.7994494354625716,0.865,0.865,0.0,0.0
AKT1S1:Q96B36:OID20895:v1,0.0,0.00562935199063314,0.00562935199063314,0.0635,0.0691293519906331,0.0,0.0814321533260706,1.0,0.5025,0.5025,0.5025,0.0,0.0
WASL:O00401:OID30467:v1,0.0,0.00771994737600612,0.00771994737600612,0.0613,0.0690199473760061,0.0,0.111850960041297,1.0,0.5025,0.865,0.865,0.0,0.0
ZNRF4:Q8WWF5:OID31347:v1,0.0,0.0192189413141513,0.0192189413141513,0.0497,0.0689189413141513,0.0,0.278862979431824,1.0,1.0,0.35,1.0,0.0,1.0
ACTN2:P35609:OID30192:v1,0.0,0.00431762373072344,0.00431762373072344,0.0646,0.0689176237307234,0.0,0.0626490510989375,1.0,0.8542657369688962,0.9325,0.9325,0.0,0.0
PRKAB1:Q9Y478:OID20444:v1,0.0187280283759514,0.00134630326169078,0.0200743316376422,0.0487,0.0687743316376422,0.272311310484638,0.0195756647812178,1.0,0.5025,0.5525,0.5525,0.0,0.0
NFKBIE:O00221:OID21212:v1,0.0234267148793003,0.00164668695365827,0.0250734018329586,0.0436,0.0686734018329586,0.341132290727107,0.023978526033466,1.0,0.7675064410923639,0.865,0.865,0.0,0.0
PPP1R9B:Q96SB3:OID20643:v1,0.0,0.00352981745397169,0.00352981745397169,0.0651,0.0686298174539717,0.0,0.0514327093517195,1.0,0.8005687638144637,0.865,0.865,0.0,0.0
C5:P01031:OID30744:v1,0.0160887772159626,0.00199976077038557,0.0180885379863482,0.0502,0.0682885379863482,0.235599965827047,0.0292839886363557,1.0,0.885269795218366,0.865,0.885269795218366,1.0,0.0
STIP1:P31948:OID21077:v1,0.0,0.00480400176679149,0.00480400176679149,0.063,0.0678040017667915,0.0,0.0708513014219222,1.0,0.5025,0.5025,0.5025,0.0,0.0
